"You can connect store account with your Google account so you could login easier in the future.","Você pode conectar sua conta com seu perfil do Google para fazer login mais facilmente no futuro."
"Twitter #: %s","Twitter #: %s"
"You can connect store account with your Twitter account so you could login easier in the future.","Você pode conectar sua conta com seu perfil do Twitter para fazer login mais facilmente no futuro."
"You can continue with checkout using your <strong>Google</strong> account.","Você pode continuar com o checkout utilizando sua conta <strong>Google</strong>."
"You can continue with checkout using your <strong>Facebook</strong> account.","Você pode continuar com o checkout utilizando sua conta <strong>Facebook</strong>."
"You can continue with checkout using your <strong>Twitter</strong> account.","Você pode continuar com o checkout utilizando sua conta <strong>Twitter</strong>."
"You can login using your Google account.","Fazer login com sua conta Google."
"You can login using your Facebook account.","Fazer login com sua conta Facebook."
"You can login using your Twitter account.","Fazer login com sua conta Twitter."
"You can register using your Google account.","Criar conta utilizando sua conta Google."
"You can register using your Facebook account.","Criar conta utilizando sua conta Facebook."
"You can register using your Twitter account.","Criar conta utilizando sua conta Twitter."
